execution_file,pattern_file,text_file,preprocess_time,running_time,used_memory,total_time
./run,pattern/reg/32.txt,text/dblp/dblp.xml.10MB,565,105575,2040,1:45.59
./run_simd,pattern/reg/32.txt,text/dblp/dblp.xml.10MB,626,105496,2040,1:45.54
./run,pattern/reg/64.txt,text/dblp/dblp.xml.10MB,572,105490,2084,1:45.49
./run_simd,pattern/reg/64.txt,text/dblp/dblp.xml.10MB,374,105358,2076,1:45.36
./run,pattern/reg/128.txt,text/dblp/dblp.xml.10MB,646,107945,2200,1:47.95
./run_simd,pattern/reg/128.txt,text/dblp/dblp.xml.10MB,651,108667,2196,1:48.67
./run,pattern/reg/256.txt,text/dblp/dblp.xml.10MB,1676,115921,2456,1:55.92
./run_simd,pattern/reg/256.txt,text/dblp/dblp.xml.10MB,1438,116838,2468,1:56.84
./run,pattern/reg/512.txt,text/dblp/dblp.xml.10MB,3119,130866,2952,2:10.87
./run_simd,pattern/reg/512.txt,text/dblp/dblp.xml.10MB,2444,131092,2976,2:11.10
./run,pattern/reg/1024.txt,text/dblp/dblp.xml.10MB,4494,158289,3928,2:38.30
./run_simd,pattern/reg/1024.txt,text/dblp/dblp.xml.10MB,4335,159012,3936,2:39.05
